file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_AB00561_0194_1099616_to_1102244,ཞེས་གསུངས་པའི་ཕྱིར་རོ་ཞེས་ཟེར་རོ།  ,zhes gsungs pa'i phyir ro zhes zer ro/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0194_1099616_to_1102244.wav,STT_AB,2,35,2.628,wav16k/STT_AB00561_0194_1099616_to_1102244.wav,ཞེས་གསུངས་པའི་ཕྱིར་རོ། ཞེས་ཟེར་རོ།
STT_AB00561_0198_1124667_to_1132960,དེ་ལྟར་ན་འདུས་བྱས་རྣམས་རྒྱུ་རྐྱེན་གྱིས་བསྐྱེད་པ་དང་གཞན་དུ་འགྱུར་བ་ནི་རང་གི་སྡེ་པ་རྣམས་ཀྱིས་གྲུབ་ཟིན་པས།  ,de ltar na 'dus byas rnams rgyu rkyen gyis bskyed pa dang gzhan du 'gyur ba ni rang gi sde pa rnams kyis grub zin pas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0198_1124667_to_1132960.wav,STT_AB,2,105,8.293,wav16k/STT_AB00561_0198_1124667_to_1132960.wav,དེ་ལྟར་ན་འདུས་བྱས་རྣམས་རྒྱུ་རྐྱེན་གྱིས་བསྐྱེད་པ་དང་གཞན་དུ་འགྱུར་བ་ནི་རང་གི་སྡེ་པ་རྣམས་ཀྱིས་གྲུབ་ཟིན་པས།
STT_AB00561_0199_1133165_to_1136493,དེ་དག་ལ་རང་བཞིན་མེད་པ་བསྒྲུབ་མི་དགོས་པར་འགྱུར་བ་དང་།  ,de dag la rang bzhin med pa bsgrub mi dgos par 'gyur ba dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0199_1133165_to_1136493.wav,STT_AB,2,54,3.328,wav16k/STT_AB00561_0199_1133165_to_1136493.wav,དེ་དག་ལ་རང་བཞིན་མེད་པ་སྒྲུབ་མི་དགོས་པར་འགྱུར་བ་དང་།
STT_AB00561_0191_1082926_to_1092602,རང་བཞིན་རྒྱུ་དང་རྐྱེན་ལས་ནི། འབྱུང་བར་རིགས་པ་མ་ཡིན་ནོ། རྒྱུ་དང་རྐྱེན་ལས་བྱུང་ན་ནི། རང་བཞིན་བྱས་པ་ཅན་དུ་འགྱུར། རང་བཞིན་བྱས་པ་ཅན་ཞེས་བྱར།  ,rang bzhin rgyu dang rkyen las ni/_'byung bar rigs pa ma yin no/_rgyu dang rkyen las byung na ni/_rang bzhin byas pa can du 'gyur/_rang bzhin byas pa can zhes byar/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0191_1082926_to_1092602.wav,STT_AB,2,137,9.676,wav16k/STT_AB00561_0191_1082926_to_1092602.wav,རང་བཞིན་རྒྱུ་དང་རྐྱེན་ལས་ནི། འབྱུང་བར་རིགས་པ་མ་ཡིན་ནོ། རྒྱུ་དང་རྐྱེན་ལས་བྱུང་ན་ནི། རང་བཞིན་བྱེས་པ་ཅན་དུ་འགྱུར། རང་བཞིན་བྱེས་པ་ཅན་ཞེས་བྱ།
STT_AB00561_0204_1150469_to_1159129,རྒྱུ་རྐྱེན་ལ་མི་བལྟོས་པ་དང་གཞན་དུ་མི་འགྱུར་བ་སོགས་སུ་འགྱུར་དགོས་སོ་ཞེས་འཕངས་པ་ནི་དབུ་མའི་གཞུང་རྣམས་སུ་དུ་མ་ཞིག་ ,rgyu rkyen la mi bltos pa dang gzhan du mi 'gyur ba sogs su 'gyur dgos so zhes 'phangs pa ni dbu ma'i gzhung rnams su du ma zhig _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0204_1150469_to_1159129.wav,STT_AB,2,112,8.66,wav16k/STT_AB00561_0204_1150469_to_1159129.wav,རྒྱུ་རྐྱེན་ལ་མི་ལྟོས་པ་དང་གཞན་དུ་མི་འགྱུར་བ་སོགས་སུ་འགྱུར་དགོས་སོ་ཞེས་འཕངས་པ་ནི་དབུ་མའི་གཞུང་རྣམས་སུ་དུ་མ་ཞིག་
STT_AB00561_0214_1188540_to_1190708,མི་རྟག་པ་བུམ་པའི་དོན་དུ་མི་རུང་གི།  ,mi rtag pa bum pa'i don du mi rung gi/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0214_1188540_to_1190708.wav,STT_AB,2,36,2.168,wav16k/STT_AB00561_0214_1188540_to_1190708.wav,མི་རྟག་པ་བུམ་པའི་དོན་དུ་མི་རུང་གི།
STT_AB00561_0205_1159129_to_1167790,ཡོད་ཀྱང་། དེ་དག་ནི་ཁྱབ་བྱེད་ཀྱི་ངོས་ནས་སྐྱོན་བརྗོད་པ་ཡིན་གྱི། དགག་བྱ་རང་གི་ངོ་བོའི་སྒོ་ནས་ངོས་བཟུང་བ་མིན་ནོ།  ,yod kyang /_de dag ni khyab byed kyi ngos nas skyon brjod pa yin gyi/_dgag bya rang gi ngo bo'i sgo nas ngos bzung ba min no/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0205_1159129_to_1167790.wav,STT_AB,2,110,8.661,wav16k/STT_AB00561_0205_1159129_to_1167790.wav,འོད་ཀྱང་། དེ་དག་ནི་ཁྱབ་བྱེད་ཀྱི་ངོས་ནས་སྐྱོན་བརྗོད་པ་ཡིན་གྱི་དགག་བྱ་རང་གི་ངོ་བོའི་སྒོ་ནས་ངོས་གཟུང་བ་མིན་ནོ།
STT_AB00561_0253_1314803_to_1319104,ལྷན་སྐྱེས་ཀྱི་ཉོན་མོངས་རྣམས་ལྡོག་པར་འདོད་ན་ཧ་ཅང་ཐལ་ཏེ།  ,lhan skyes kyi nyon mongs rnams ldog par 'dod na ha cang thal te/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0253_1314803_to_1319104.wav,STT_AB,2,56,4.301,wav16k/STT_AB00561_0253_1314803_to_1319104.wav,ལྷན་སྐྱེས་ཀྱི་ཉོན་མོངས་རྣམས་ལྡོག་པར་འདོད་ན་ཧ་ཅང་ཐལ་ཏེ།
STT_AB00561_0254_1320332_to_1321049,འཇུག་པ་ལས།  ,'jug pa las/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0254_1320332_to_1321049.wav,STT_AB,2,12,0.717,wav16k/STT_AB00561_0254_1320332_to_1321049.wav,འཇུག་པ་ལས།
STT_AB00561_0217_1197687_to_1202363,དོན་དམ་པར་གྲུབ་པ་སོགས་ཡིན་ན་ཆ་མེད་པའི་དངོས་པོར་འགྱུར་དགོས་ནའང་།  ,don dam par grub pa sogs yin na cha med pa'i dngos por 'gyur dgos na'ang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_AB00561_0217_1197687_to_1202363.wav,STT_AB,2,65,4.676,wav16k/STT_AB00561_0217_1197687_to_1202363.wav,དོན་དམ་པར་གྲུབ་པ་སོགས་ཡིན་ན་ཆ་མེད་པའི་དངོས་པོར་འགྱུར་དགོས་ནའང་
